TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,15.0,15.0,10.0,8.0,2.0,5,British Grand Prix
aston_martin,23.0,23.0,18.0,8.0,10.0,5,British Grand Prix
ferrari,18.0,18.0,13.0,12.0,1.0,5,British Grand Prix
haas,13.0,13.0,8.0,0.0,8.0,5,British Grand Prix
mclaren,50.0,50.0,45.0,43.0,2.0,5,British Grand Prix
mercedes,3.0,3.0,1.0,1.0,0.0,2,British Grand Prix
rb,0.0,0.0,0.0,0.0,0.0,0,British Grand Prix
red_bull,15.0,15.0,10.0,10.0,0.0,5,British Grand Prix
sauber,33.0,33.0,31.0,15.0,16.0,2,British Grand Prix
williams,14.0,14.0,9.0,4.0,5.0,5,British Grand Prix
