TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,12.0,3.0,1.0,0.0,1.0,2,9.0,4.0,1.0,3.0,5,Belgian Grand Prix
aston_martin,17.0,7.0,2.0,0.0,2.0,5,10.0,5.0,0.0,5.0,5,Belgian Grand Prix
ferrari,50.0,13.0,8.0,5.0,3.0,5,37.0,32.0,21.0,11.0,5,Belgian Grand Prix
haas,17.0,11.0,6.0,6.0,0.0,5,6.0,1.0,0.0,1.0,5,Belgian Grand Prix
mclaren,67.0,18.0,13.0,13.0,0.0,5,49.0,44.0,43.0,1.0,5,Belgian Grand Prix
mercedes,27.0,8.0,3.0,0.0,3.0,5,19.0,14.0,10.0,4.0,5,Belgian Grand Prix
rb,18.0,8.0,3.0,1.0,2.0,5,10.0,5.0,4.0,1.0,5,Belgian Grand Prix
red_bull,32.0,15.0,10.0,8.0,2.0,5,17.0,12.0,12.0,0.0,5,Belgian Grand Prix
sauber,16.0,6.0,1.0,0.0,1.0,5,10.0,5.0,2.0,3.0,5,Belgian Grand Prix
williams,21.0,8.0,3.0,3.0,0.0,5,13.0,8.0,8.0,0.0,5,Belgian Grand Prix
