TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,10.0,10.0,5.0,0.0,5.0,5,Dutch Grand Prix
aston_martin,29.0,29.0,24.0,10.0,14.0,5,Dutch Grand Prix
ferrari,0.0,0.0,0.0,0.0,0.0,0,Dutch Grand Prix
haas,36.0,36.0,31.0,9.0,22.0,5,Dutch Grand Prix
mclaren,27.0,27.0,25.0,25.0,0.0,2,Dutch Grand Prix
mercedes,18.0,18.0,13.0,12.0,1.0,5,Dutch Grand Prix
rb,21.0,21.0,16.0,15.0,1.0,5,Dutch Grand Prix
red_bull,29.0,29.0,24.0,20.0,4.0,5,Dutch Grand Prix
sauber,8.0,8.0,3.0,0.0,3.0,5,Dutch Grand Prix
williams,25.0,25.0,20.0,10.0,10.0,5,Dutch Grand Prix
