TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,9.0,9.0,4.0,0.0,4.0,5,Italian Grand Prix
aston_martin,2.0,2.0,0.0,0.0,0.0,2,Italian Grand Prix
ferrari,29.0,29.0,24.0,20.0,4.0,5,Italian Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Italian Grand Prix
mclaren,38.0,38.0,33.0,33.0,0.0,5,Italian Grand Prix
mercedes,17.0,17.0,12.0,12.0,0.0,5,Italian Grand Prix
rb,19.0,19.0,14.0,1.0,13.0,5,Italian Grand Prix
red_bull,30.0,30.0,25.0,25.0,0.0,5,Italian Grand Prix
sauber,9.0,9.0,4.0,4.0,0.0,5,Italian Grand Prix
williams,20.0,20.0,15.0,6.0,9.0,5,Italian Grand Prix
