TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Azerbaijan Grand Prix
aston_martin,5.0,5.0,0.0,0.0,0.0,5,Azerbaijan Grand Prix
ferrari,16.0,16.0,11.0,6.0,5.0,5,Azerbaijan Grand Prix
haas,14.0,14.0,9.0,0.0,9.0,5,Azerbaijan Grand Prix
mclaren,8.0,8.0,6.0,6.0,0.0,2,Azerbaijan Grand Prix
mercedes,38.0,38.0,33.0,30.0,3.0,5,Azerbaijan Grand Prix
rb,16.0,16.0,11.0,11.0,0.0,5,Azerbaijan Grand Prix
red_bull,38.0,38.0,33.0,33.0,0.0,5,Azerbaijan Grand Prix
sauber,8.0,8.0,3.0,0.0,3.0,5,Azerbaijan Grand Prix
williams,26.0,26.0,21.0,15.0,6.0,5,Azerbaijan Grand Prix
