TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Singapore Grand Prix
aston_martin,16.0,16.0,11.0,6.0,5.0,5,Singapore Grand Prix
ferrari,18.0,18.0,13.0,12.0,1.0,5,Singapore Grand Prix
haas,7.0,7.0,2.0,2.0,0.0,5,Singapore Grand Prix
mclaren,34.0,34.0,29.0,27.0,2.0,5,Singapore Grand Prix
mercedes,40.0,40.0,35.0,35.0,0.0,5,Singapore Grand Prix
rb,5.0,5.0,0.0,0.0,0.0,5,Singapore Grand Prix
red_bull,24.0,24.0,19.0,18.0,1.0,5,Singapore Grand Prix
sauber,5.0,5.0,0.0,0.0,0.0,5,Singapore Grand Prix
williams,20.0,20.0,15.0,1.0,14.0,5,Singapore Grand Prix
