TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,16.0,11.0,6.0,0.0,6.0,5,5.0,0.0,0.0,0.0,5,United States Grand Prix
aston_martin,13.0,0.0,0.0,0.0,0.0,0,13.0,8.0,1.0,7.0,5,United States Grand Prix
ferrari,56.0,23.0,18.0,9.0,9.0,5,33.0,28.0,27.0,1.0,5,United States Grand Prix
haas,15.0,6.0,4.0,0.0,4.0,2,9.0,4.0,2.0,2.0,5,United States Grand Prix
mclaren,34.0,0.0,0.0,0.0,0.0,0,34.0,29.0,28.0,1.0,5,United States Grand Prix
mercedes,32.0,19.0,14.0,8.0,6.0,5,13.0,8.0,8.0,0.0,5,United States Grand Prix
rb,21.0,11.0,6.0,0.0,6.0,5,10.0,5.0,0.0,5.0,5,United States Grand Prix
red_bull,68.0,26.0,21.0,10.0,11.0,5,42.0,37.0,31.0,6.0,5,United States Grand Prix
sauber,26.0,14.0,9.0,0.0,9.0,5,12.0,7.0,4.0,3.0,5,United States Grand Prix
williams,27.0,21.0,16.0,9.0,7.0,5,6.0,4.0,0.0,4.0,2,United States Grand Prix
