TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,12.0,12.0,7.0,0.0,7.0,5,Mexico City Grand Prix
aston_martin,7.0,7.0,5.0,0.0,5.0,2,Mexico City Grand Prix
ferrari,27.0,27.0,22.0,22.0,0.0,5,Mexico City Grand Prix
haas,26.0,26.0,21.0,14.0,7.0,5,Mexico City Grand Prix
mclaren,42.0,42.0,37.0,35.0,2.0,5,Mexico City Grand Prix
mercedes,19.0,19.0,14.0,14.0,0.0,5,Mexico City Grand Prix
rb,2.0,2.0,0.0,0.0,0.0,2,Mexico City Grand Prix
red_bull,22.0,22.0,17.0,15.0,2.0,5,Mexico City Grand Prix
sauber,9.0,9.0,7.0,1.0,6.0,2,Mexico City Grand Prix
williams,7.0,7.0,5.0,0.0,5.0,2,Mexico City Grand Prix
