TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,15.0,8.0,6.0,1.0,5.0,2,7.0,2.0,1.0,1.0,5,São Paulo Grand Prix
aston_martin,13.0,8.0,3.0,3.0,0.0,5,5.0,0.0,0.0,0.0,5,São Paulo Grand Prix
ferrari,18.0,18.0,13.0,6.0,7.0,5,0.0,0.0,0.0,0.0,0,São Paulo Grand Prix
haas,38.0,15.0,10.0,0.0,10.0,5,23.0,18.0,8.0,10.0,5,São Paulo Grand Prix
mclaren,50.0,10.0,8.0,8.0,0.0,2,40.0,35.0,35.0,0.0,5,São Paulo Grand Prix
mercedes,56.0,19.0,14.0,13.0,1.0,5,37.0,32.0,30.0,2.0,5,São Paulo Grand Prix
rb,21.0,6.0,1.0,0.0,1.0,5,15.0,10.0,10.0,0.0,5,São Paulo Grand Prix
red_bull,54.0,18.0,13.0,5.0,8.0,5,36.0,31.0,15.0,16.0,5,São Paulo Grand Prix
sauber,7.0,2.0,0.0,0.0,0.0,2,5.0,3.0,2.0,1.0,2,São Paulo Grand Prix
williams,19.0,11.0,6.0,0.0,6.0,5,8.0,3.0,0.0,3.0,5,São Paulo Grand Prix
