TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Las Vegas Grand Prix
aston_martin,2.0,2.0,0.0,0.0,0.0,2,Las Vegas Grand Prix
ferrari,37.0,37.0,32.0,16.0,16.0,5,Las Vegas Grand Prix
haas,16.0,16.0,11.0,3.0,8.0,5,Las Vegas Grand Prix
mclaren,5.0,5.0,0.0,0.0,0.0,5,Las Vegas Grand Prix
mercedes,54.0,54.0,49.0,33.0,16.0,5,Las Vegas Grand Prix
rb,15.0,15.0,10.0,8.0,2.0,5,Las Vegas Grand Prix
red_bull,39.0,39.0,34.0,25.0,9.0,5,Las Vegas Grand Prix
sauber,13.0,13.0,11.0,6.0,5.0,2,Las Vegas Grand Prix
williams,12.0,12.0,10.0,10.0,0.0,2,Las Vegas Grand Prix
