TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Abu Dhabi Grand Prix
aston_martin,19.0,19.0,14.0,9.0,5.0,5,Abu Dhabi Grand Prix
ferrari,30.0,30.0,25.0,16.0,9.0,5,Abu Dhabi Grand Prix
haas,12.0,12.0,7.0,6.0,1.0,5,Abu Dhabi Grand Prix
mclaren,39.0,39.0,34.0,33.0,1.0,5,Abu Dhabi Grand Prix
mercedes,15.0,15.0,10.0,10.0,0.0,5,Abu Dhabi Grand Prix
rb,5.0,5.0,0.0,0.0,0.0,5,Abu Dhabi Grand Prix
red_bull,30.0,30.0,25.0,25.0,0.0,5,Abu Dhabi Grand Prix
sauber,16.0,16.0,11.0,2.0,9.0,5,Abu Dhabi Grand Prix
williams,6.0,6.0,1.0,0.0,1.0,5,Abu Dhabi Grand Prix
