TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,2.0,2.0,0.0,0.0,0.0,2,Saudi Arabian Grand Prix
aston_martin,7.0,7.0,2.0,0.0,2.0,5,Saudi Arabian Grand Prix
ferrari,27.0,27.0,22.0,21.0,1.0,5,Saudi Arabian Grand Prix
haas,12.0,12.0,7.0,0.0,7.0,5,Saudi Arabian Grand Prix
mclaren,49.0,49.0,44.0,37.0,7.0,5,Saudi Arabian Grand Prix
mercedes,23.0,23.0,18.0,18.0,0.0,5,Saudi Arabian Grand Prix
rb,10.0,10.0,5.0,1.0,4.0,5,Saudi Arabian Grand Prix
red_bull,20.0,20.0,18.0,18.0,0.0,2,Saudi Arabian Grand Prix
sauber,10.0,10.0,5.0,0.0,5.0,5,Saudi Arabian Grand Prix
williams,13.0,13.0,8.0,6.0,2.0,5,Saudi Arabian Grand Prix
