TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Emilia Romagna Grand Prix
aston_martin,5.0,5.0,0.0,0.0,0.0,5,Emilia Romagna Grand Prix
ferrari,38.0,38.0,33.0,20.0,13.0,5,Emilia Romagna Grand Prix
haas,4.0,4.0,2.0,0.0,2.0,2,Emilia Romagna Grand Prix
mclaren,40.0,40.0,35.0,33.0,2.0,5,Emilia Romagna Grand Prix
mercedes,8.0,8.0,6.0,6.0,0.0,2,Emilia Romagna Grand Prix
rb,8.0,8.0,3.0,2.0,1.0,5,Emilia Romagna Grand Prix
red_bull,42.0,42.0,37.0,26.0,11.0,5,Emilia Romagna Grand Prix
sauber,10.0,10.0,5.0,0.0,5.0,5,Emilia Romagna Grand Prix
williams,21.0,21.0,16.0,14.0,2.0,5,Emilia Romagna Grand Prix
