TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix
aston_martin,17.0,17.0,15.0,8.0,7.0,2,Australian Grand Prix
ferrari,10.0,10.0,5.0,5.0,0.0,5,Australian Grand Prix
haas,17.0,17.0,12.0,0.0,12.0,5,Australian Grand Prix
mclaren,32.0,32.0,27.0,27.0,0.0,5,Australian Grand Prix
mercedes,45.0,45.0,40.0,27.0,13.0,5,Australian Grand Prix
rb,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix
red_bull,24.0,24.0,22.0,18.0,4.0,2,Australian Grand Prix
sauber,18.0,18.0,16.0,6.0,10.0,2,Australian Grand Prix
williams,13.0,13.0,11.0,10.0,1.0,2,Australian Grand Prix
