TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,11.0,11.0,6.0,6.0,0.0,5,Bahrain Grand Prix
aston_martin,7.0,7.0,2.0,0.0,2.0,5,Bahrain Grand Prix
ferrari,31.0,31.0,26.0,22.0,4.0,5,Bahrain Grand Prix
haas,26.0,26.0,21.0,5.0,16.0,5,Bahrain Grand Prix
mclaren,48.0,48.0,43.0,40.0,3.0,5,Bahrain Grand Prix
mercedes,24.0,24.0,19.0,18.0,1.0,5,Bahrain Grand Prix
rb,6.0,6.0,1.0,0.0,1.0,5,Bahrain Grand Prix
red_bull,17.0,17.0,12.0,10.0,2.0,5,Bahrain Grand Prix
sauber,5.0,5.0,0.0,0.0,0.0,5,Bahrain Grand Prix
williams,5.0,5.0,3.0,0.0,3.0,2,Bahrain Grand Prix
