TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,20.0,10.0,5.0,0.0,5.0,5,10.0,5.0,0.0,5.0,5,Chinese Grand Prix
aston_martin,16.0,7.0,2.0,0.0,2.0,5,9.0,7.0,2.0,5.0,2,Chinese Grand Prix
ferrari,22.0,17.0,12.0,12.0,0.0,5,5.0,0.0,0.0,0.0,5,Chinese Grand Prix
haas,41.0,7.0,2.0,0.0,2.0,5,34.0,29.0,14.0,15.0,5,Chinese Grand Prix
mclaren,63.0,14.0,9.0,8.0,1.0,5,49.0,44.0,43.0,1.0,5,Chinese Grand Prix
mercedes,43.0,13.0,8.0,7.0,1.0,5,30.0,25.0,23.0,2.0,5,Chinese Grand Prix
rb,17.0,12.0,7.0,3.0,4.0,5,5.0,0.0,0.0,0.0,5,Chinese Grand Prix
red_bull,41.0,16.0,11.0,6.0,5.0,5,25.0,20.0,12.0,8.0,5,Chinese Grand Prix
sauber,16.0,6.0,1.0,0.0,1.0,5,10.0,5.0,0.0,5.0,5,Chinese Grand Prix
williams,25.0,5.0,0.0,0.0,0.0,5,20.0,15.0,7.0,8.0,5,Chinese Grand Prix
