TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,21.0,12.0,7.0,1.0,6.0,5,9.0,7.0,0.0,7.0,2,Miami Grand Prix
aston_martin,26.0,17.0,15.0,4.0,11.0,2,9.0,4.0,0.0,4.0,5,Miami Grand Prix
ferrari,32.0,12.0,10.0,6.0,4.0,2,20.0,15.0,10.0,5.0,5,Miami Grand Prix
haas,12.0,10.0,5.0,0.0,5.0,5,2.0,0.0,0.0,0.0,2,Miami Grand Prix
mclaren,73.0,22.0,17.0,15.0,2.0,5,51.0,46.0,43.0,3.0,5,Miami Grand Prix
mercedes,43.0,13.0,8.0,7.0,1.0,5,30.0,25.0,23.0,2.0,5,Miami Grand Prix
rb,8.0,6.0,1.0,0.0,1.0,5,2.0,0.0,0.0,0.0,2,Miami Grand Prix
red_bull,40.0,22.0,17.0,3.0,14.0,5,18.0,13.0,13.0,0.0,5,Miami Grand Prix
sauber,14.0,10.0,5.0,0.0,5.0,5,4.0,2.0,0.0,2.0,2,Miami Grand Prix
williams,21.0,2.0,0.0,0.0,0.0,2,19.0,14.0,12.0,2.0,5,Miami Grand Prix
