TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,12.0,12.0,7.0,4.0,3.0,5,Spanish Grand Prix
aston_martin,5.0,5.0,3.0,2.0,1.0,2,Spanish Grand Prix
ferrari,32.0,32.0,27.0,23.0,4.0,5,Spanish Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Spanish Grand Prix
mclaren,48.0,48.0,43.0,43.0,0.0,5,Spanish Grand Prix
mercedes,14.0,14.0,12.0,12.0,0.0,2,Spanish Grand Prix
rb,15.0,15.0,10.0,6.0,4.0,5,Spanish Grand Prix
red_bull,12.0,12.0,7.0,1.0,6.0,5,Spanish Grand Prix
sauber,25.0,25.0,20.0,10.0,10.0,5,Spanish Grand Prix
williams,5.0,5.0,3.0,0.0,3.0,2,Spanish Grand Prix
