TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints
alpine,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix,,,,,
aston_martin,17.0,17.0,15.0,8.0,7.0,2,Australian Grand Prix,,,,,
ferrari,10.0,10.0,5.0,5.0,0.0,5,Australian Grand Prix,,,,,
haas,17.0,17.0,12.0,0.0,12.0,5,Australian Grand Prix,,,,,
mclaren,32.0,32.0,27.0,27.0,0.0,5,Australian Grand Prix,,,,,
mercedes,45.0,45.0,40.0,27.0,13.0,5,Australian Grand Prix,,,,,
rb,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix,,,,,
red_bull,24.0,24.0,22.0,18.0,4.0,2,Australian Grand Prix,,,,,
sauber,18.0,18.0,16.0,6.0,10.0,2,Australian Grand Prix,,,,,
williams,13.0,13.0,11.0,10.0,1.0,2,Australian Grand Prix,,,,,
alpine,20.0,10.0,5.0,0.0,5.0,5,Chinese Grand Prix,10.0,5.0,0.0,5.0,5.0
aston_martin,16.0,9.0,7.0,2.0,5.0,2,Chinese Grand Prix,7.0,2.0,0.0,2.0,5.0
ferrari,22.0,5.0,0.0,0.0,0.0,5,Chinese Grand Prix,17.0,12.0,12.0,0.0,5.0
haas,41.0,34.0,29.0,14.0,15.0,5,Chinese Grand Prix,7.0,2.0,0.0,2.0,5.0
mclaren,63.0,49.0,44.0,43.0,1.0,5,Chinese Grand Prix,14.0,9.0,8.0,1.0,5.0
mercedes,43.0,30.0,25.0,23.0,2.0,5,Chinese Grand Prix,13.0,8.0,7.0,1.0,5.0
rb,17.0,5.0,0.0,0.0,0.0,5,Chinese Grand Prix,12.0,7.0,3.0,4.0,5.0
red_bull,41.0,25.0,20.0,12.0,8.0,5,Chinese Grand Prix,16.0,11.0,6.0,5.0,5.0
sauber,16.0,10.0,5.0,0.0,5.0,5,Chinese Grand Prix,6.0,1.0,0.0,1.0,5.0
williams,25.0,20.0,15.0,7.0,8.0,5,Chinese Grand Prix,5.0,0.0,0.0,0.0,5.0
alpine,9.0,9.0,4.0,0.0,4.0,5,Japanese Grand Prix,,,,,
aston_martin,6.0,6.0,1.0,0.0,1.0,5,Japanese Grand Prix,,,,,
ferrari,24.0,24.0,19.0,18.0,1.0,5,Japanese Grand Prix,,,,,
haas,6.0,6.0,1.0,1.0,0.0,5,Japanese Grand Prix,,,,,
mclaren,38.0,38.0,33.0,33.0,0.0,5,Japanese Grand Prix,,,,,
mercedes,23.0,23.0,18.0,18.0,0.0,5,Japanese Grand Prix,,,,,
