TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,7.0,7.0,2.0,1.0,1.0,5,Belgian Grand Prix
aston_martin,5.0,5.0,3.0,0.0,3.0,2,Belgian Grand Prix
audi,9.0,9.0,4.0,4.0,0.0,5,Belgian Grand Prix
cadillac,2.0,2.0,0.0,0.0,0.0,2,Belgian Grand Prix
ferrari,38.0,38.0,33.0,30.0,3.0,5,Belgian Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Belgian Grand Prix
mclaren,28.0,28.0,23.0,16.0,7.0,5,Belgian Grand Prix
mercedes,27.0,27.0,25.0,25.0,0.0,2,Belgian Grand Prix
rb,7.0,7.0,2.0,2.0,0.0,5,Belgian Grand Prix
red_bull,43.0,43.0,38.0,23.0,15.0,5,Belgian Grand Prix
williams,8.0,8.0,3.0,0.0,3.0,5,Belgian Grand Prix
