TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Hungarian Grand Prix
aston_martin,14.0,14.0,9.0,0.0,9.0,5,Hungarian Grand Prix
audi,11.0,11.0,6.0,2.0,4.0,5,Hungarian Grand Prix
cadillac,1.0,1.0,1.0,0.0,1.0,0,Hungarian Grand Prix
ferrari,27.0,27.0,22.0,22.0,0.0,5,Hungarian Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Hungarian Grand Prix
mclaren,27.0,27.0,25.0,25.0,0.0,2,Hungarian Grand Prix
mercedes,30.0,30.0,25.0,21.0,4.0,5,Hungarian Grand Prix
rb,13.0,13.0,8.0,5.0,3.0,5,Hungarian Grand Prix
red_bull,35.0,35.0,30.0,26.0,4.0,5,Hungarian Grand Prix
williams,7.0,7.0,2.0,0.0,2.0,5,Hungarian Grand Prix
