TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,14.0,7.0,2.0,1.0,1.0,5,7.0,2.0,1.0,1.0,5,Dutch Grand Prix
aston_martin,23.0,10.0,5.0,0.0,5.0,5,13.0,11.0,2.0,9.0,2,Dutch Grand Prix
audi,19.0,5.0,0.0,0.0,0.0,5,14.0,9.0,4.0,5.0,5,Dutch Grand Prix
cadillac,17.0,5.0,0.0,0.0,0.0,5,12.0,10.0,0.0,10.0,2,Dutch Grand Prix
ferrari,44.0,15.0,10.0,9.0,1.0,5,29.0,24.0,22.0,2.0,5,Dutch Grand Prix
haas,8.0,8.0,3.0,0.0,3.0,5,0.0,0.0,0.0,0.0,0,Dutch Grand Prix
mclaren,53.0,15.0,10.0,10.0,0.0,5,38.0,33.0,33.0,0.0,5,Dutch Grand Prix
mercedes,58.0,19.0,14.0,13.0,1.0,5,39.0,34.0,33.0,1.0,5,Dutch Grand Prix
rb,11.0,5.0,0.0,0.0,0.0,5,6.0,1.0,0.0,1.0,5,Dutch Grand Prix
red_bull,17.0,8.0,3.0,3.0,0.0,5,9.0,7.0,6.0,1.0,2,Dutch Grand Prix
williams,9.0,6.0,1.0,0.0,1.0,5,3.0,1.0,0.0,1.0,2,Dutch Grand Prix
