TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,15.0,15.0,10.0,6.0,4.0,5,Spanish Grand Prix
aston_martin,2.0,2.0,0.0,0.0,0.0,2,Spanish Grand Prix
audi,7.0,7.0,2.0,1.0,1.0,5,Spanish Grand Prix
cadillac,3.0,3.0,1.0,0.0,1.0,2,Spanish Grand Prix
ferrari,15.0,15.0,13.0,12.0,1.0,2,Spanish Grand Prix
haas,13.0,13.0,8.0,0.0,8.0,5,Spanish Grand Prix
mclaren,24.0,24.0,19.0,19.0,0.0,5,Spanish Grand Prix
mercedes,42.0,42.0,37.0,35.0,2.0,5,Spanish Grand Prix
rb,9.0,9.0,4.0,2.0,2.0,5,Spanish Grand Prix
red_bull,34.0,34.0,29.0,26.0,3.0,5,Spanish Grand Prix
williams,4.0,4.0,2.0,0.0,2.0,2,Spanish Grand Prix
