TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,24.0,7.0,2.0,0.0,2.0,5,17.0,12.0,9.0,3.0,5,Chinese Grand Prix
aston_martin,10.0,7.0,2.0,0.0,2.0,5,3.0,3.0,0.0,3.0,0,Chinese Grand Prix
audi,8.0,3.0,1.0,0.0,1.0,2,5.0,0.0,0.0,0.0,5,Chinese Grand Prix
cadillac,21.0,4.0,2.0,0.0,2.0,2,17.0,12.0,0.0,12.0,5,Chinese Grand Prix
ferrari,55.0,23.0,18.0,13.0,5.0,5,32.0,27.0,27.0,0.0,5,Chinese Grand Prix
haas,29.0,9.0,4.0,1.0,3.0,5,20.0,15.0,10.0,5.0,5,Chinese Grand Prix
mclaren,18.0,13.0,8.0,8.0,0.0,5,5.0,0.0,0.0,0.0,5,Chinese Grand Prix
mercedes,65.0,17.0,12.0,12.0,0.0,5,48.0,43.0,43.0,0.0,5,Chinese Grand Prix
rb,31.0,10.0,8.0,2.0,6.0,2,21.0,16.0,6.0,10.0,5,Chinese Grand Prix
red_bull,12.0,5.0,0.0,0.0,0.0,5,7.0,5.0,4.0,1.0,2,Chinese Grand Prix
williams,31.0,16.0,11.0,0.0,11.0,5,15.0,10.0,2.0,8.0,5,Chinese Grand Prix
