TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,11.0,11.0,6.0,6.0,0.0,5,Japanese Grand Prix
aston_martin,6.0,6.0,4.0,0.0,4.0,2,Japanese Grand Prix
audi,7.0,7.0,2.0,0.0,2.0,5,Japanese Grand Prix
cadillac,8.0,8.0,3.0,0.0,3.0,5,Japanese Grand Prix
ferrari,29.0,29.0,24.0,23.0,1.0,5,Japanese Grand Prix
haas,5.0,5.0,3.0,1.0,2.0,2,Japanese Grand Prix
mclaren,34.0,34.0,29.0,28.0,1.0,5,Japanese Grand Prix
mercedes,42.0,42.0,37.0,37.0,0.0,5,Japanese Grand Prix
rb,12.0,12.0,7.0,2.0,5.0,5,Japanese Grand Prix
red_bull,12.0,12.0,7.0,4.0,3.0,5,Japanese Grand Prix
williams,6.0,6.0,1.0,0.0,1.0,5,Japanese Grand Prix
