TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,17.0,8.0,3.0,1.0,2.0,5,9.0,7.0,6.0,1.0,2,Miami Grand Prix
aston_martin,22.0,14.0,9.0,0.0,9.0,5,8.0,3.0,0.0,3.0,5,Miami Grand Prix
audi,16.0,5.0,0.0,0.0,0.0,5,11.0,9.0,0.0,9.0,2,Miami Grand Prix
cadillac,16.0,6.0,1.0,0.0,1.0,5,10.0,5.0,0.0,5.0,5,Miami Grand Prix
ferrari,31.0,14.0,9.0,8.0,1.0,5,17.0,12.0,12.0,0.0,5,Miami Grand Prix
haas,18.0,11.0,6.0,0.0,6.0,5,7.0,2.0,0.0,2.0,5,Miami Grand Prix
mclaren,65.0,21.0,16.0,15.0,1.0,5,44.0,39.0,33.0,6.0,5,Miami Grand Prix
mercedes,58.0,15.0,10.0,8.0,2.0,5,43.0,38.0,37.0,1.0,5,Miami Grand Prix
rb,11.0,7.0,2.0,0.0,2.0,5,4.0,2.0,0.0,2.0,2,Miami Grand Prix
red_bull,21.0,9.0,4.0,4.0,0.0,5,12.0,10.0,10.0,0.0,2,Miami Grand Prix
williams,23.0,6.0,1.0,0.0,1.0,5,17.0,12.0,3.0,9.0,5,Miami Grand Prix
