TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,36.0,9.0,4.0,0.0,4.0,5,27.0,22.0,12.0,10.0,5,Canadian Grand Prix
aston_martin,12.0,3.0,1.0,0.0,1.0,2,9.0,7.0,0.0,7.0,2,Canadian Grand Prix
audi,10.0,5.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,5,Canadian Grand Prix
cadillac,21.0,11.0,6.0,0.0,6.0,5,10.0,8.0,0.0,8.0,2,Canadian Grand Prix
ferrari,55.0,13.0,8.0,7.0,1.0,5,42.0,37.0,30.0,7.0,5,Canadian Grand Prix
haas,22.0,7.0,2.0,0.0,2.0,5,15.0,10.0,1.0,9.0,5,Canadian Grand Prix
mclaren,20.0,18.0,13.0,12.0,1.0,5,2.0,0.0,0.0,0.0,2,Canadian Grand Prix
mercedes,47.0,19.0,14.0,14.0,0.0,5,28.0,26.0,25.0,1.0,2,Canadian Grand Prix
rb,30.0,14.0,9.0,1.0,8.0,5,16.0,11.0,6.0,5.0,5,Canadian Grand Prix
red_bull,42.0,7.0,2.0,2.0,0.0,5,35.0,30.0,25.0,5.0,5,Canadian Grand Prix
williams,18.0,8.0,3.0,0.0,3.0,5,10.0,8.0,2.0,6.0,2,Canadian Grand Prix
