TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,13.0,13.0,8.0,6.0,2.0,5,Monaco Grand Prix
aston_martin,18.0,18.0,16.0,1.0,15.0,2,Monaco Grand Prix
audi,10.0,10.0,5.0,0.0,5.0,5,Monaco Grand Prix
cadillac,5.0,5.0,3.0,0.0,3.0,2,Monaco Grand Prix
ferrari,21.0,21.0,19.0,18.0,1.0,2,Monaco Grand Prix
haas,12.0,12.0,10.0,2.0,8.0,2,Monaco Grand Prix
mclaren,17.0,17.0,15.0,12.0,3.0,2,Monaco Grand Prix
mercedes,30.0,30.0,25.0,25.0,0.0,5,Monaco Grand Prix
rb,37.0,37.0,32.0,18.0,14.0,5,Monaco Grand Prix
red_bull,19.0,19.0,17.0,15.0,2.0,2,Monaco Grand Prix
williams,9.0,9.0,7.0,4.0,3.0,2,Monaco Grand Prix
