TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,22.0,22.0,17.0,7.0,10.0,5,Barcelona Grand Prix
aston_martin,3.0,3.0,3.0,0.0,3.0,0,Barcelona Grand Prix
audi,3.0,3.0,1.0,0.0,1.0,2,Barcelona Grand Prix
cadillac,7.0,7.0,5.0,0.0,5.0,2,Barcelona Grand Prix
ferrari,28.0,28.0,26.0,25.0,1.0,2,Barcelona Grand Prix
haas,6.0,6.0,4.0,0.0,4.0,2,Barcelona Grand Prix
mclaren,33.0,33.0,28.0,25.0,3.0,5,Barcelona Grand Prix
mercedes,20.0,20.0,18.0,18.0,0.0,2,Barcelona Grand Prix
rb,13.0,13.0,8.0,6.0,2.0,5,Barcelona Grand Prix
red_bull,26.0,26.0,21.0,20.0,1.0,5,Barcelona Grand Prix
williams,9.0,9.0,4.0,0.0,4.0,5,Barcelona Grand Prix
