TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,6.0,6.0,1.0,0.0,1.0,5,Austrian Grand Prix
aston_martin,8.0,8.0,6.0,0.0,6.0,2,Austrian Grand Prix
audi,8.0,8.0,3.0,0.0,3.0,5,Austrian Grand Prix
cadillac,0.0,0.0,0.0,0.0,0.0,0,Austrian Grand Prix
ferrari,19.0,19.0,14.0,14.0,0.0,5,Austrian Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Austrian Grand Prix
mclaren,26.0,26.0,21.0,18.0,3.0,5,Austrian Grand Prix
mercedes,46.0,46.0,41.0,40.0,1.0,5,Austrian Grand Prix
rb,8.0,8.0,3.0,3.0,0.0,5,Austrian Grand Prix
red_bull,36.0,36.0,31.0,26.0,5.0,5,Austrian Grand Prix
williams,3.0,3.0,1.0,0.0,1.0,2,Austrian Grand Prix
