TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,30.0,7.0,2.0,0.0,2.0,5,23.0,18.0,3.0,15.0,5,British Grand Prix
aston_martin,16.0,5.0,0.0,0.0,0.0,5,11.0,6.0,0.0,6.0,5,British Grand Prix
audi,14.0,5.0,0.0,0.0,0.0,5,9.0,7.0,4.0,3.0,2,British Grand Prix
cadillac,18.0,5.0,0.0,0.0,0.0,5,13.0,8.0,0.0,8.0,5,British Grand Prix
ferrari,62.0,16.0,11.0,11.0,0.0,5,46.0,41.0,40.0,1.0,5,British Grand Prix
haas,18.0,8.0,3.0,0.0,3.0,5,10.0,5.0,0.0,5.0,5,British Grand Prix
mclaren,35.0,16.0,11.0,8.0,3.0,5,19.0,14.0,12.0,2.0,5,British Grand Prix
mercedes,45.0,20.0,15.0,13.0,2.0,5,25.0,20.0,18.0,2.0,5,British Grand Prix
rb,32.0,7.0,2.0,1.0,1.0,5,25.0,20.0,14.0,6.0,5,British Grand Prix
red_bull,20.0,8.0,3.0,3.0,0.0,5,12.0,10.0,10.0,0.0,2,British Grand Prix
williams,11.0,9.0,4.0,0.0,4.0,5,2.0,0.0,0.0,0.0,2,British Grand Prix
