TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,6.0,6.0,1.0,1.0,0.0,5,Australian Grand Prix
aston_martin,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix
audi,7.0,7.0,2.0,2.0,0.0,5,Australian Grand Prix
cadillac,2.0,2.0,0.0,0.0,0.0,2,Australian Grand Prix
ferrari,32.0,32.0,27.0,27.0,0.0,5,Australian Grand Prix
haas,11.0,11.0,6.0,6.0,0.0,5,Australian Grand Prix
mclaren,15.0,15.0,10.0,10.0,0.0,5,Australian Grand Prix
mercedes,48.0,48.0,43.0,43.0,0.0,5,Australian Grand Prix
rb,9.0,9.0,4.0,4.0,0.0,5,Australian Grand Prix
red_bull,10.0,10.0,8.0,8.0,0.0,2,Australian Grand Prix
williams,5.0,5.0,0.0,0.0,0.0,5,Australian Grand Prix
