DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,5.0,5,0,5,0.0,0.0,0.0,0,Canadian Grand Prix
alonso,16.0,5,0,5,11.0,6.0,0.0,5,Canadian Grand Prix
antonelli,17.0,0,0,0,17.0,15.0,2.0,0,Canadian Grand Prix
bearman,9.0,5,0,5,4.0,0.0,4.0,0,Canadian Grand Prix
bortoleto,2.0,0,0,0,2.0,0.0,2.0,0,Canadian Grand Prix
colapinto,10.0,5,0,5,5.0,0.0,0.0,5,Canadian Grand Prix
gasly,10.0,0,0,0,10.0,0.0,10.0,0,Canadian Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,Canadian Grand Prix
hamilton,13.0,5,0,5,8.0,8.0,0.0,0,Canadian Grand Prix
hulkenberg,20.0,5,0,5,15.0,4.0,6.0,5,Canadian Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Canadian Grand Prix
leclerc,21.0,0,0,0,21.0,10.0,6.0,5,Canadian Grand Prix
max_verstappen,28.0,5,0,5,23.0,18.0,0.0,5,Canadian Grand Prix
norris,0.0,0,0,0,0.0,0.0,0.0,0,Canadian Grand Prix
ocon,17.0,0,0,0,17.0,2.0,10.0,5,Canadian Grand Prix
piastri,22.0,5,0,5,17.0,12.0,0.0,5,Canadian Grand Prix
russell,45.0,15,10,5,30.0,25.0,0.0,5,Canadian Grand Prix
sainz,18.0,0,0,0,18.0,1.0,12.0,5,Canadian Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Canadian Grand Prix
tsunoda,12.0,0,0,0,12.0,0.0,12.0,0,Canadian Grand Prix
