DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,10.0,5,0,5,5.0,0.0,0.0,5,Austrian Grand Prix
alonso,24.0,5,0,5,19.0,6.0,8.0,5,Austrian Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Austrian Grand Prix
bearman,13.0,5,0,5,8.0,0.0,8.0,0,Austrian Grand Prix
bortoleto,14.0,5,0,5,9.0,4.0,0.0,5,Austrian Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,Austrian Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Austrian Grand Prix
hadjar,2.0,0,0,0,2.0,0.0,2.0,0,Austrian Grand Prix
hamilton,12.0,0,0,0,12.0,12.0,0.0,0,Austrian Grand Prix
hulkenberg,24.0,0,0,0,24.0,2.0,22.0,0,Austrian Grand Prix
lawson,18.0,5,0,5,13.0,8.0,0.0,5,Austrian Grand Prix
leclerc,25.0,5,0,5,20.0,15.0,0.0,5,Austrian Grand Prix
max_verstappen,5.0,5,0,5,0.0,0.0,0.0,0,Austrian Grand Prix
norris,45.0,15,10,5,30.0,25.0,0.0,5,Austrian Grand Prix
ocon,20.0,0,0,0,20.0,1.0,14.0,5,Austrian Grand Prix
piastri,20.0,0,0,0,20.0,18.0,2.0,0,Austrian Grand Prix
russell,20.0,5,0,5,15.0,10.0,0.0,5,Austrian Grand Prix
sainz,0.0,0,0,0,0.0,0.0,0.0,0,Austrian Grand Prix
stroll,4.0,0,0,0,4.0,0.0,4.0,0,Austrian Grand Prix
tsunoda,9.0,0,0,0,9.0,0.0,4.0,5,Austrian Grand Prix
