DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,19.0,0,0,0,19.0,4.0,10.0,5,British Grand Prix
alonso,7.0,5,0,5,2.0,2.0,0.0,0,British Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
bearman,19.0,0,0,0,19.0,0.0,14.0,5,British Grand Prix
bortoleto,5.0,5,0,5,0.0,0.0,0.0,0,British Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
gasly,22.0,5,0,5,17.0,8.0,4.0,5,British Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,British Grand Prix
hamilton,24.0,5,0,5,19.0,12.0,2.0,5,British Grand Prix
hulkenberg,52.0,0,0,0,52.0,15.0,32.0,5,British Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
leclerc,0.0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
max_verstappen,30.0,15,10,5,15.0,10.0,0.0,5,British Grand Prix
norris,34.0,0,0,0,34.0,25.0,4.0,5,British Grand Prix
ocon,7.0,5,0,5,2.0,0.0,2.0,0,British Grand Prix
piastri,23.0,5,0,5,18.0,18.0,0.0,0,British Grand Prix
russell,11.0,5,0,5,6.0,1.0,0.0,5,British Grand Prix
sainz,5.0,5,0,5,0.0,0.0,0.0,0,British Grand Prix
stroll,31.0,0,0,0,31.0,6.0,20.0,5,British Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
