DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,18.0,0.0,0.0,0.0,0,5,0,5,13.0,8.0,0.0,5,Belgian Grand Prix
alonso,6.0,0.0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,0,Belgian Grand Prix
antonelli,8.0,2.0,0.0,2.0,0,0,0,0,6.0,0.0,6.0,0,Belgian Grand Prix
bearman,9.0,2.0,2.0,0.0,0,0,0,0,7.0,0.0,2.0,5,Belgian Grand Prix
bortoleto,20.0,6.0,0.0,1.0,5,5,0,5,9.0,2.0,2.0,5,Belgian Grand Prix
colapinto,6.0,6.0,0.0,1.0,5,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
gasly,17.0,0.0,0.0,0.0,0,5,0,5,12.0,1.0,6.0,5,Belgian Grand Prix
hadjar,12.0,7.0,1.0,1.0,5,5,0,5,0.0,0.0,0.0,0,Belgian Grand Prix
hamilton,31.0,3.0,0.0,3.0,0,0,0,0,28.0,6.0,22.0,0,Belgian Grand Prix
hulkenberg,4.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,0,Belgian Grand Prix
lawson,12.0,1.0,0.0,1.0,0,0,0,0,11.0,4.0,2.0,5,Belgian Grand Prix
leclerc,35.0,10.0,5.0,0.0,5,5,0,5,20.0,15.0,0.0,5,Belgian Grand Prix
max_verstappen,36.0,14.0,8.0,1.0,5,5,0,5,17.0,12.0,0.0,5,Belgian Grand Prix
norris,39.0,6.0,6.0,0.0,0,15,10,5,18.0,18.0,0.0,0,Belgian Grand Prix
ocon,14.0,9.0,4.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Belgian Grand Prix
piastri,44.0,12.0,7.0,0.0,5,0,0,0,32.0,25.0,2.0,5,Belgian Grand Prix
russell,28.0,6.0,0.0,1.0,5,5,0,5,17.0,10.0,2.0,5,Belgian Grand Prix
sainz,8.0,8.0,3.0,0.0,5,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
stroll,21.0,7.0,0.0,2.0,5,5,0,5,9.0,0.0,4.0,5,Belgian Grand Prix
tsunoda,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
