DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,8.0,0,0,0,8.0,0.0,8.0,0,Hungarian Grand Prix
alonso,20.0,5,0,5,15.0,10.0,0.0,5,Hungarian Grand Prix
antonelli,11.0,0,0,0,11.0,1.0,10.0,0,Hungarian Grand Prix
bearman,5.0,5,0,5,0.0,0.0,0.0,0,Hungarian Grand Prix
bortoleto,20.0,5,0,5,15.0,8.0,2.0,5,Hungarian Grand Prix
colapinto,10.0,5,0,5,5.0,0.0,0.0,5,Hungarian Grand Prix
gasly,0.0,0,0,0,0.0,0.0,0.0,0,Hungarian Grand Prix
hadjar,0.0,0,0,0,0.0,0.0,0.0,0,Hungarian Grand Prix
hamilton,0.0,0,0,0,0.0,0.0,0.0,0,Hungarian Grand Prix
hulkenberg,10.0,0,0,0,10.0,0.0,10.0,0,Hungarian Grand Prix
lawson,16.0,5,0,5,11.0,4.0,2.0,5,Hungarian Grand Prix
leclerc,32.0,15,10,5,17.0,12.0,0.0,5,Hungarian Grand Prix
max_verstappen,12.0,5,0,5,7.0,2.0,0.0,5,Hungarian Grand Prix
norris,34.0,0,0,0,34.0,25.0,4.0,5,Hungarian Grand Prix
ocon,7.0,0,0,0,7.0,0.0,2.0,5,Hungarian Grand Prix
piastri,23.0,5,0,5,18.0,18.0,0.0,0,Hungarian Grand Prix
russell,27.0,5,0,5,22.0,15.0,2.0,5,Hungarian Grand Prix
sainz,10.0,5,0,5,5.0,0.0,0.0,5,Hungarian Grand Prix
stroll,6.0,0,0,0,6.0,6.0,0.0,0,Hungarian Grand Prix
tsunoda,6.0,0,0,0,6.0,0.0,6.0,0,Hungarian Grand Prix
