DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,35.0,0,0,0,35.0,10.0,20.0,5,Dutch Grand Prix
alonso,13.0,5,0,5,8.0,4.0,4.0,0,Dutch Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
bearman,41.0,0,0,0,41.0,8.0,28.0,5,Dutch Grand Prix
bortoleto,5.0,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
colapinto,15.0,0,0,0,15.0,0.0,10.0,5,Dutch Grand Prix
gasly,5.0,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
hadjar,27.0,5,0,5,22.0,15.0,2.0,5,Dutch Grand Prix
hamilton,0.0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
hulkenberg,11.0,0,0,0,11.0,0.0,6.0,5,Dutch Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
leclerc,10.0,5,0,5,5.0,0.0,0.0,5,Dutch Grand Prix
max_verstappen,30.0,5,0,5,25.0,18.0,2.0,5,Dutch Grand Prix
norris,0.0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
ocon,22.0,5,0,5,17.0,1.0,16.0,0,Dutch Grand Prix
piastri,45.0,15,10,5,30.0,25.0,0.0,5,Dutch Grand Prix
russell,24.0,5,0,5,19.0,12.0,2.0,5,Dutch Grand Prix
sainz,5.0,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
stroll,35.0,0,0,0,35.0,6.0,24.0,5,Dutch Grand Prix
tsunoda,8.0,0,0,0,8.0,2.0,6.0,0,Dutch Grand Prix
