DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,25.0,0,0,0,25.0,6.0,14.0,5,Italian Grand Prix
alonso,5.0,5,0,5,0.0,0.0,0.0,0,Italian Grand Prix
antonelli,2.0,0,0,0,2.0,2.0,0.0,0,Italian Grand Prix
bearman,10.0,5,0,5,5.0,0.0,0.0,5,Italian Grand Prix
bortoleto,14.0,5,0,5,9.0,4.0,0.0,5,Italian Grand Prix
colapinto,5.0,5,0,5,0.0,0.0,0.0,0,Italian Grand Prix
gasly,13.0,0,0,0,13.0,0.0,8.0,5,Italian Grand Prix
hadjar,24.0,0,0,0,24.0,1.0,18.0,5,Italian Grand Prix
hamilton,16.0,0,0,0,16.0,8.0,8.0,0,Italian Grand Prix
hulkenberg,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
lawson,13.0,5,0,5,8.0,0.0,8.0,0,Italian Grand Prix
leclerc,22.0,5,0,5,17.0,12.0,0.0,5,Italian Grand Prix
max_verstappen,45.0,15,10,5,30.0,25.0,0.0,5,Italian Grand Prix
norris,28.0,5,0,5,23.0,18.0,0.0,5,Italian Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
piastri,15.0,0,0,0,15.0,15.0,0.0,0,Italian Grand Prix
russell,20.0,5,0,5,15.0,10.0,0.0,5,Italian Grand Prix
sainz,9.0,5,0,5,4.0,0.0,4.0,0,Italian Grand Prix
stroll,5.0,0,0,0,5.0,0.0,0.0,5,Italian Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
