DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,12.0,0,0,0,12.0,0.0,12.0,0,Azerbaijan Grand Prix
alonso,10.0,5,0,5,5.0,0.0,0.0,5,Azerbaijan Grand Prix
antonelli,17.0,5,0,5,12.0,12.0,0.0,0,Azerbaijan Grand Prix
bearman,16.0,5,0,5,11.0,0.0,6.0,5,Azerbaijan Grand Prix
bortoleto,14.0,5,0,5,9.0,0.0,4.0,5,Azerbaijan Grand Prix
colapinto,5.0,5,0,5,0.0,0.0,0.0,0,Azerbaijan Grand Prix
gasly,5.0,0,0,0,5.0,0.0,0.0,5,Azerbaijan Grand Prix
hadjar,1.0,0,0,0,1.0,1.0,0.0,0,Azerbaijan Grand Prix
hamilton,17.0,0,0,0,17.0,4.0,8.0,5,Azerbaijan Grand Prix
hulkenberg,2.0,0,0,0,2.0,0.0,2.0,0,Azerbaijan Grand Prix
lawson,20.0,5,0,5,15.0,10.0,0.0,5,Azerbaijan Grand Prix
leclerc,9.0,5,0,5,4.0,2.0,2.0,0,Azerbaijan Grand Prix
max_verstappen,45.0,15,10,5,30.0,25.0,0.0,5,Azerbaijan Grand Prix
norris,16.0,5,0,5,11.0,6.0,0.0,5,Azerbaijan Grand Prix
ocon,12.0,0,0,0,12.0,0.0,12.0,0,Azerbaijan Grand Prix
piastri,0.0,0,0,0,0.0,0.0,0.0,0,Azerbaijan Grand Prix
russell,29.0,0,0,0,29.0,18.0,6.0,5,Azerbaijan Grand Prix
sainz,25.0,5,0,5,20.0,15.0,0.0,5,Azerbaijan Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Azerbaijan Grand Prix
tsunoda,8.0,0,0,0,8.0,8.0,0.0,0,Azerbaijan Grand Prix
