DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,12.0,0,0,0,12.0,0.0,12.0,0,Singapore Grand Prix
alonso,22.0,5,0,5,17.0,6.0,6.0,5,Singapore Grand Prix
antonelli,10.0,0,0,0,10.0,10.0,0.0,0,Singapore Grand Prix
bearman,12.0,5,0,5,7.0,2.0,0.0,5,Singapore Grand Prix
bortoleto,5.0,0,0,0,5.0,0.0,0.0,5,Singapore Grand Prix
colapinto,10.0,5,0,5,5.0,0.0,0.0,5,Singapore Grand Prix
gasly,0.0,0,0,0,0.0,0.0,0.0,0,Singapore Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,Singapore Grand Prix
hamilton,9.0,5,0,5,4.0,4.0,0.0,0,Singapore Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Singapore Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Singapore Grand Prix
leclerc,15.0,0,0,0,15.0,8.0,2.0,5,Singapore Grand Prix
max_verstappen,28.0,5,0,5,23.0,18.0,0.0,5,Singapore Grand Prix
norris,24.0,0,0,0,24.0,15.0,4.0,5,Singapore Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Singapore Grand Prix
piastri,17.0,5,0,5,12.0,12.0,0.0,0,Singapore Grand Prix
russell,45.0,15,10,5,30.0,25.0,0.0,5,Singapore Grand Prix
sainz,27.0,5,0,5,22.0,1.0,16.0,5,Singapore Grand Prix
stroll,4.0,0,0,0,4.0,0.0,4.0,0,Singapore Grand Prix
tsunoda,2.0,0,0,0,2.0,0.0,2.0,0,Singapore Grand Prix
