DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,19.0,6.0,3.0,3.0,0,0,0,0,13.0,0.0,8.0,5,United States Grand Prix
alonso,11.0,0.0,0.0,0.0,0,5,0,5,6.0,1.0,0.0,5,United States Grand Prix
antonelli,4.0,4.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0,United States Grand Prix
bearman,18.0,6.0,0.0,1.0,5,5,0,5,7.0,2.0,0.0,5,United States Grand Prix
bortoleto,14.0,14.0,0.0,9.0,5,0,0,0,0.0,0.0,0.0,0,United States Grand Prix
colapinto,8.0,3.0,0.0,3.0,0,0,0,0,5.0,0.0,0.0,5,United States Grand Prix
gasly,13.0,8.0,0.0,3.0,5,5,0,5,0.0,0.0,0.0,0,United States Grand Prix
hadjar,8.0,0.0,0.0,0.0,0,0,0,0,8.0,0.0,8.0,0,United States Grand Prix
hamilton,28.0,14.0,5.0,4.0,5,0,0,0,14.0,12.0,2.0,0,United States Grand Prix
hulkenberg,20.0,0.0,0.0,0.0,0,5,0,5,15.0,4.0,6.0,5,United States Grand Prix
lawson,23.0,11.0,0.0,6.0,5,5,0,5,7.0,0.0,2.0,5,United States Grand Prix
leclerc,34.0,9.0,4.0,5.0,0,5,0,5,20.0,15.0,0.0,5,United States Grand Prix
max_verstappen,58.0,13.0,8.0,0.0,5,15,10,5,30.0,25.0,0.0,5,United States Grand Prix
norris,33.0,5.0,0.0,0.0,5,5,0,5,23.0,18.0,0.0,5,United States Grand Prix
ocon,7.0,3.0,0.0,3.0,0,0,0,0,4.0,0.0,4.0,0,United States Grand Prix
piastri,12.0,0.0,0.0,0.0,0,0,0,0,12.0,10.0,2.0,0,United States Grand Prix
russell,33.0,15.0,7.0,3.0,5,5,0,5,13.0,8.0,0.0,5,United States Grand Prix
sainz,20.0,15.0,6.0,4.0,5,5,0,5,0.0,0.0,0.0,0,United States Grand Prix
stroll,19.0,5.0,0.0,0.0,5,0,0,0,14.0,0.0,14.0,0,United States Grand Prix
tsunoda,31.0,13.0,2.0,11.0,0,0,0,0,18.0,6.0,12.0,0,United States Grand Prix
