DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,15.0,0,0,0,15.0,0.0,10.0,5,Mexico City Grand Prix
alonso,5.0,5,0,5,0.0,0.0,0.0,0,Mexico City Grand Prix
antonelli,13.0,0,0,0,13.0,8.0,0.0,5,Mexico City Grand Prix
bearman,32.0,5,0,5,27.0,12.0,10.0,5,Mexico City Grand Prix
bortoleto,18.0,0,0,0,18.0,1.0,12.0,5,Mexico City Grand Prix
colapinto,8.0,0,0,0,8.0,0.0,8.0,0,Mexico City Grand Prix
gasly,16.0,5,0,5,11.0,0.0,6.0,5,Mexico City Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,Mexico City Grand Prix
hamilton,4.0,0,0,0,4.0,4.0,0.0,0,Mexico City Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Mexico City Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Mexico City Grand Prix
leclerc,28.0,5,0,5,23.0,18.0,0.0,5,Mexico City Grand Prix
max_verstappen,29.0,5,0,5,24.0,15.0,4.0,5,Mexico City Grand Prix
norris,45.0,15,10,5,30.0,25.0,0.0,5,Mexico City Grand Prix
ocon,6.0,0,0,0,6.0,2.0,4.0,0,Mexico City Grand Prix
piastri,14.0,0,0,0,14.0,10.0,4.0,0,Mexico City Grand Prix
russell,11.0,5,0,5,6.0,6.0,0.0,0,Mexico City Grand Prix
sainz,5.0,5,0,5,0.0,0.0,0.0,0,Mexico City Grand Prix
stroll,15.0,0,0,0,15.0,0.0,10.0,5,Mexico City Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,Mexico City Grand Prix
