DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,12.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,0.0,2.0,5.0,São Paulo Grand Prix
alonso,18.0,8.0,3.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,São Paulo Grand Prix
antonelli,40.0,12.0,7.0,0.0,5.0,5.0,0.0,5.0,23.0,18.0,0.0,5.0,São Paulo Grand Prix
bearman,25.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,17.0,8.0,4.0,5.0,São Paulo Grand Prix
bortoleto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo Grand Prix
colapinto,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,São Paulo Grand Prix
gasly,22.0,11.0,1.0,5.0,5.0,5.0,0.0,5.0,6.0,1.0,0.0,5.0,São Paulo Grand Prix
hadjar,14.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,4.0,4.0,0.0,0.0,São Paulo Grand Prix
hamilton,11.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,São Paulo Grand Prix
hulkenberg,19.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,9.0,2.0,2.0,5.0,São Paulo Grand Prix
lawson,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,5.0,São Paulo Grand Prix
leclerc,17.0,12.0,4.0,3.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,São Paulo Grand Prix
max_verstappen,64.0,12.0,5.0,2.0,5.0,0.0,0.0,0.0,52.0,15.0,32.0,5.0,São Paulo Grand Prix
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo Grand Prix
norris,58.0,13.0,8.0,0.0,5.0,15.0,10.0,5.0,30.0,25.0,0.0,5.0,São Paulo Grand Prix
ocon,28.0,12.0,0.0,7.0,5.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,São Paulo Grand Prix
piastri,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,São Paulo Grand Prix
russell,23.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,16.0,12.0,4.0,0.0,São Paulo Grand Prix
sainz,15.0,11.0,0.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,São Paulo Grand Prix
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo Grand Prix
tsunoda,11.0,6.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,São Paulo Grand Prix
