DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,0.0,0,0,0,0.0,0.0,0.0,0,Las Vegas Grand Prix
alonso,10.0,5,0,5,5.0,0.0,0.0,5,Las Vegas Grand Prix
antonelli,43.0,0,0,0,43.0,15.0,28.0,0,Las Vegas Grand Prix
bearman,9.0,0,0,0,9.0,1.0,8.0,0,Las Vegas Grand Prix
bortoleto,2.0,0,0,0,2.0,0.0,2.0,0,Las Vegas Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,Las Vegas Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Las Vegas Grand Prix
hadjar,17.0,0,0,0,17.0,8.0,4.0,5,Las Vegas Grand Prix
hamilton,26.0,0,0,0,26.0,4.0,22.0,0,Las Vegas Grand Prix
hulkenberg,24.0,5,0,5,19.0,6.0,8.0,5,Las Vegas Grand Prix
lawson,5.0,5,0,5,0.0,0.0,0.0,0,Las Vegas Grand Prix
leclerc,32.0,5,0,5,27.0,12.0,10.0,5,Las Vegas Grand Prix
max_verstappen,37.0,5,0,5,32.0,25.0,2.0,5,Las Vegas Grand Prix
norris,20.0,15,10,5,5.0,0.0,0.0,5,Las Vegas Grand Prix
ocon,20.0,5,0,5,15.0,2.0,8.0,5,Las Vegas Grand Prix
piastri,0.0,0,0,0,0.0,0.0,0.0,0,Las Vegas Grand Prix
russell,32.0,5,0,5,27.0,18.0,4.0,5,Las Vegas Grand Prix
sainz,20.0,5,0,5,15.0,10.0,0.0,5,Las Vegas Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Las Vegas Grand Prix
tsunoda,16.0,0,0,0,16.0,0.0,16.0,0,Las Vegas Grand Prix
