DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,6.0,0.0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,0,Qatar Grand Prix
alonso,25.0,7.0,2.0,0.0,5,5,0,5,13.0,6.0,2.0,5,Qatar Grand Prix
antonelli,19.0,4.0,3.0,1.0,0,0,0,0,15.0,10.0,0.0,5,Qatar Grand Prix
bearman,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Qatar Grand Prix
bortoleto,24.0,7.0,0.0,2.0,5,0,0,0,17.0,0.0,12.0,5,Qatar Grand Prix
colapinto,17.0,0.0,0.0,0.0,0,0,0,0,17.0,0.0,12.0,5,Qatar Grand Prix
gasly,11.0,6.0,0.0,1.0,5,5,0,5,0.0,0.0,0.0,0,Qatar Grand Prix
hadjar,12.0,7.0,0.0,2.0,5,5,0,5,0.0,0.0,0.0,0,Qatar Grand Prix
hamilton,11.0,1.0,0.0,1.0,0,0,0,0,10.0,0.0,10.0,0,Qatar Grand Prix
hulkenberg,5.0,0.0,0.0,0.0,0,5,0,5,0.0,0.0,0.0,0,Qatar Grand Prix
lawson,15.0,2.0,0.0,2.0,0,0,0,0,13.0,2.0,6.0,5,Qatar Grand Prix
leclerc,23.0,5.0,0.0,0.0,5,5,0,5,13.0,4.0,4.0,5,Qatar Grand Prix
max_verstappen,51.0,12.0,5.0,2.0,5,5,0,5,34.0,25.0,4.0,5,Qatar Grand Prix
norris,18.0,6.0,6.0,0.0,0,0,0,0,12.0,12.0,0.0,0,Qatar Grand Prix
ocon,7.0,0.0,0.0,0.0,0,0,0,0,7.0,0.0,2.0,5,Qatar Grand Prix
piastri,51.0,13.0,8.0,0.0,5,15,10,5,23.0,18.0,0.0,5,Qatar Grand Prix
russell,25.0,12.0,7.0,0.0,5,5,0,5,8.0,8.0,0.0,0,Qatar Grand Prix
sainz,39.0,6.0,1.0,0.0,5,5,0,5,28.0,15.0,8.0,5,Qatar Grand Prix
stroll,2.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0,Qatar Grand Prix
tsunoda,15.0,4.0,4.0,0.0,0,0,0,0,11.0,1.0,10.0,0,Qatar Grand Prix
