DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,2.0,0,0,0,2.0,0.0,2.0,0,Abu Dhabi Grand Prix
alonso,18.0,5,0,5,13.0,8.0,0.0,5,Abu Dhabi Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
bearman,0.0,0,0,0,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
bortoleto,5.0,5,0,5,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Abu Dhabi Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,Abu Dhabi Grand Prix
hamilton,20.0,0,0,0,20.0,4.0,16.0,0,Abu Dhabi Grand Prix
hulkenberg,25.0,0,0,0,25.0,2.0,18.0,5,Abu Dhabi Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
leclerc,24.0,5,0,5,19.0,12.0,2.0,5,Abu Dhabi Grand Prix
max_verstappen,45.0,15,10,5,30.0,25.0,0.0,5,Abu Dhabi Grand Prix
norris,20.0,5,0,5,15.0,15.0,0.0,0,Abu Dhabi Grand Prix
ocon,18.0,5,0,5,13.0,6.0,2.0,5,Abu Dhabi Grand Prix
piastri,25.0,0,0,0,25.0,18.0,2.0,5,Abu Dhabi Grand Prix
russell,20.0,5,0,5,15.0,10.0,0.0,5,Abu Dhabi Grand Prix
sainz,10.0,5,0,5,5.0,0.0,0.0,5,Abu Dhabi Grand Prix
stroll,11.0,0,0,0,11.0,1.0,10.0,0,Abu Dhabi Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,Abu Dhabi Grand Prix
