DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,24.0,5.0,0.0,0.0,5,0,0,0,19.0,10.0,4.0,5,Miami Grand Prix
alonso,14.0,0.0,0.0,0.0,0,5,0,5,9.0,0.0,4.0,5,Miami Grand Prix
antonelli,15.0,2.0,2.0,0.0,0,5,0,5,8.0,8.0,0.0,0,Miami Grand Prix
bearman,5.0,5.0,0.0,5.0,0,0,0,0,0.0,0.0,0.0,0,Miami Grand Prix
bortoleto,8.0,3.0,0.0,3.0,0,5,0,5,0.0,0.0,0.0,0,Miami Grand Prix
doohan,6.0,1.0,0.0,1.0,0,5,0,5,0.0,0.0,0.0,0,Miami Grand Prix
gasly,30.0,11.0,1.0,5.0,5,0,0,0,19.0,0.0,14.0,5,Miami Grand Prix
hadjar,15.0,5.0,0.0,0.0,5,5,0,5,5.0,0.0,0.0,5,Miami Grand Prix
hamilton,27.0,15.0,6.0,4.0,5,0,0,0,12.0,4.0,8.0,0,Miami Grand Prix
hulkenberg,16.0,7.0,0.0,2.0,5,0,0,0,9.0,0.0,4.0,5,Miami Grand Prix
lawson,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0,Miami Grand Prix
leclerc,18.0,0.0,0.0,0.0,0,5,0,5,13.0,6.0,2.0,5,Miami Grand Prix
max_verstappen,32.0,0.0,0.0,0.0,0,15,10,5,17.0,12.0,0.0,5,Miami Grand Prix
norris,38.0,15.0,8.0,2.0,5,5,0,5,18.0,18.0,0.0,0,Miami Grand Prix
ocon,15.0,5.0,0.0,0.0,5,5,0,5,5.0,0.0,0.0,5,Miami Grand Prix
piastri,43.0,7.0,7.0,0.0,0,0,0,0,36.0,25.0,6.0,5,Miami Grand Prix
russell,35.0,11.0,5.0,1.0,5,0,0,0,24.0,15.0,4.0,5,Miami Grand Prix
sainz,7.0,0.0,0.0,0.0,0,5,0,5,2.0,2.0,0.0,0,Miami Grand Prix
stroll,24.0,20.0,4.0,11.0,5,0,0,0,4.0,0.0,4.0,0,Miami Grand Prix
tsunoda,23.0,22.0,3.0,14.0,5,0,0,0,1.0,1.0,0.0,0,Miami Grand Prix
