DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,22.0,5,0,5,17.0,10.0,2.0,5,Australian Grand Prix
alonso,5.0,5,0,5,0.0,0.0,0.0,0,Australian Grand Prix
antonelli,36.0,0,0,0,36.0,12.0,24.0,0,Australian Grand Prix
bearman,12.0,0,0,0,12.0,0.0,12.0,0,Australian Grand Prix
bortoleto,5.0,5,0,5,0.0,0.0,0.0,0,Australian Grand Prix
doohan,0.0,0,0,0,0.0,0.0,0.0,0,Australian Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Australian Grand Prix
hadjar,0.0,0,0,0,0.0,0.0,0.0,0,Australian Grand Prix
hamilton,1.0,0,0,0,1.0,1.0,0.0,0,Australian Grand Prix
hulkenberg,31.0,0,0,0,31.0,6.0,20.0,5,Australian Grand Prix
lawson,6.0,0,0,0,6.0,0.0,6.0,0,Australian Grand Prix
leclerc,14.0,5,0,5,9.0,4.0,0.0,5,Australian Grand Prix
max_verstappen,30.0,5,0,5,25.0,18.0,2.0,5,Australian Grand Prix
norris,45.0,15,10,5,30.0,25.0,0.0,5,Australian Grand Prix
ocon,22.0,5,0,5,17.0,0.0,12.0,5,Australian Grand Prix
piastri,2.0,0,0,0,2.0,2.0,0.0,0,Australian Grand Prix
russell,27.0,5,0,5,22.0,15.0,2.0,5,Australian Grand Prix
sainz,0.0,0,0,0,0.0,0.0,0.0,0,Australian Grand Prix
stroll,27.0,0,0,0,27.0,8.0,14.0,5,Australian Grand Prix
tsunoda,10.0,5,0,5,5.0,0.0,0.0,5,Australian Grand Prix
