DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,11.0,0,0,0,11.0,0.0,6.0,5,Bahrain Grand Prix
alonso,10.0,5,0,5,5.0,0.0,0.0,5,Bahrain Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Bahrain Grand Prix
bearman,21.0,0,0,0,21.0,1.0,20.0,0,Bahrain Grand Prix
bortoleto,5.0,0,0,0,5.0,0.0,0.0,5,Bahrain Grand Prix
doohan,0.0,0,0,0,0.0,0.0,0.0,0,Bahrain Grand Prix
gasly,16.0,5,0,5,11.0,6.0,0.0,5,Bahrain Grand Prix
hadjar,10.0,5,0,5,5.0,0.0,0.0,5,Bahrain Grand Prix
hamilton,18.0,0,0,0,18.0,10.0,8.0,0,Bahrain Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Bahrain Grand Prix
lawson,2.0,0,0,0,2.0,0.0,2.0,0,Bahrain Grand Prix
leclerc,22.0,5,0,5,17.0,12.0,0.0,5,Bahrain Grand Prix
max_verstappen,20.0,5,0,5,15.0,8.0,2.0,5,Bahrain Grand Prix
norris,21.0,0,0,0,21.0,15.0,6.0,0,Bahrain Grand Prix
ocon,26.0,5,0,5,21.0,4.0,12.0,5,Bahrain Grand Prix
piastri,45.0,15,10,5,30.0,25.0,0.0,5,Bahrain Grand Prix
russell,30.0,5,0,5,25.0,18.0,2.0,5,Bahrain Grand Prix
sainz,5.0,5,0,5,0.0,0.0,0.0,0,Bahrain Grand Prix
stroll,4.0,0,0,0,4.0,0.0,4.0,0,Bahrain Grand Prix
tsunoda,4.0,0,0,0,4.0,2.0,2.0,0,Bahrain Grand Prix
