DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,27.0,5.0,0.0,0.0,5,5,0,5,17.0,6.0,6.0,5,Chinese Grand Prix
alonso,6.0,1.0,0.0,1.0,0,5,0,5,0.0,0.0,0.0,0,Chinese Grand Prix
antonelli,14.0,2.0,2.0,0.0,0,0,0,0,12.0,8.0,4.0,0,Chinese Grand Prix
bearman,27.0,5.0,0.0,0.0,5,0,0,0,22.0,4.0,18.0,0,Chinese Grand Prix
bortoleto,20.0,5.0,0.0,0.0,5,0,0,0,15.0,0.0,10.0,5,Chinese Grand Prix
doohan,15.0,0.0,0.0,0.0,0,0,0,0,15.0,0.0,10.0,5,Chinese Grand Prix
gasly,15.0,10.0,0.0,5.0,5,5,0,5,0.0,0.0,0.0,0,Chinese Grand Prix
hadjar,12.0,2.0,0.0,2.0,0,5,0,5,5.0,0.0,0.0,5,Chinese Grand Prix
hamilton,18.0,13.0,8.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Chinese Grand Prix
hulkenberg,6.0,1.0,0.0,1.0,0,5,0,5,0.0,0.0,0.0,0,Chinese Grand Prix
lawson,21.0,5.0,0.0,5.0,0,0,0,0,16.0,0.0,16.0,0,Chinese Grand Prix
leclerc,9.0,4.0,4.0,0.0,0,0,0,0,5.0,0.0,0.0,5,Chinese Grand Prix
max_verstappen,33.0,11.0,6.0,0.0,5,5,0,5,17.0,12.0,0.0,5,Chinese Grand Prix
norris,21.0,1.0,1.0,0.0,0,0,0,0,20.0,18.0,2.0,0,Chinese Grand Prix
ocon,34.0,2.0,0.0,2.0,0,5,0,5,27.0,10.0,12.0,5,Chinese Grand Prix
piastri,58.0,13.0,7.0,1.0,5,15,10,5,30.0,25.0,0.0,5,Chinese Grand Prix
russell,36.0,11.0,5.0,1.0,5,5,0,5,20.0,15.0,0.0,5,Chinese Grand Prix
sainz,11.0,0.0,0.0,0.0,0,0,0,0,11.0,1.0,10.0,0,Chinese Grand Prix
stroll,23.0,6.0,0.0,1.0,5,0,0,0,17.0,2.0,10.0,5,Chinese Grand Prix
tsunoda,10.0,10.0,3.0,2.0,5,0,0,0,0.0,0.0,0.0,0,Chinese Grand Prix
