DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,6.0,0,0,0,6.0,2.0,4.0,0,Saudi Arabian Grand Prix
alonso,14.0,5,0,5,9.0,0.0,4.0,5,Saudi Arabian Grand Prix
antonelli,8.0,0,0,0,8.0,8.0,0.0,0,Saudi Arabian Grand Prix
bearman,14.0,5,0,5,9.0,0.0,4.0,5,Saudi Arabian Grand Prix
bortoleto,4.0,0,0,0,4.0,0.0,4.0,0,Saudi Arabian Grand Prix
doohan,5.0,0,0,0,5.0,0.0,0.0,5,Saudi Arabian Grand Prix
gasly,5.0,5,0,5,0.0,0.0,0.0,0,Saudi Arabian Grand Prix
hadjar,14.0,0,0,0,14.0,1.0,8.0,5,Saudi Arabian Grand Prix
hamilton,6.0,0,0,0,6.0,6.0,0.0,0,Saudi Arabian Grand Prix
hulkenberg,16.0,5,0,5,11.0,0.0,6.0,5,Saudi Arabian Grand Prix
lawson,5.0,5,0,5,0.0,0.0,0.0,0,Saudi Arabian Grand Prix
leclerc,27.0,5,0,5,22.0,15.0,2.0,5,Saudi Arabian Grand Prix
max_verstappen,38.0,15,10,5,23.0,18.0,0.0,5,Saudi Arabian Grand Prix
norris,24.0,0,0,0,24.0,12.0,12.0,0,Saudi Arabian Grand Prix
ocon,10.0,0,0,0,10.0,0.0,10.0,0,Saudi Arabian Grand Prix
piastri,37.0,5,0,5,32.0,25.0,2.0,5,Saudi Arabian Grand Prix
russell,20.0,5,0,5,15.0,10.0,0.0,5,Saudi Arabian Grand Prix
sainz,14.0,5,0,5,9.0,4.0,0.0,5,Saudi Arabian Grand Prix
stroll,0.0,0,0,0,0.0,0.0,0.0,0,Saudi Arabian Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,Saudi Arabian Grand Prix
