DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,10.0,5,0,5,5.0,0.0,0.0,5,Belgian Grand Prix
alonso,11.0,0,0,0,11.0,0.0,6.0,5,Belgian Grand Prix
antonelli,45.0,15,10,5,30.0,25.0,0.0,5,Belgian Grand Prix
arvid_lindblad,12.0,5,0,5,7.0,2.0,0.0,5,Belgian Grand Prix
bearman,10.0,5,0,5,5.0,0.0,0.0,5,Belgian Grand Prix
bortoleto,14.0,5,0,5,9.0,4.0,0.0,5,Belgian Grand Prix
bottas,10.0,5,0,5,5.0,0.0,0.0,5,Belgian Grand Prix
colapinto,8.0,0,0,0,8.0,1.0,2.0,5,Belgian Grand Prix
gasly,5.0,5,0,5,0.0,0.0,0.0,0,Belgian Grand Prix
hadjar,38.0,0,0,0,38.0,8.0,30.0,0,Belgian Grand Prix
hamilton,14.0,0,0,0,14.0,12.0,2.0,0,Belgian Grand Prix
hulkenberg,0.0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
lawson,0.0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
leclerc,32.0,5,0,5,27.0,18.0,4.0,5,Belgian Grand Prix
max_verstappen,25.0,5,0,5,20.0,15.0,0.0,5,Belgian Grand Prix
norris,18.0,0,0,0,18.0,6.0,12.0,0,Belgian Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
perez,0.0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
piastri,22.0,5,0,5,17.0,10.0,2.0,5,Belgian Grand Prix
russell,0.0,0,0,0,0.0,0.0,0.0,0,Belgian Grand Prix
sainz,6.0,0,0,0,6.0,0.0,6.0,0,Belgian Grand Prix
stroll,5.0,5,0,5,0.0,0.0,0.0,0,Belgian Grand Prix
