DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
alonso,34.0,4.0,0.0,4.0,0,5,0,5,25.0,2.0,18.0,5,Dutch Grand Prix
antonelli,31.0,6.0,5.0,1.0,0,0,0,0,25.0,18.0,2.0,5,Dutch Grand Prix
arvid_lindblad,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
bearman,2.0,2.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
bortoleto,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
bottas,16.0,5.0,0.0,0.0,5,5,0,5,6.0,0.0,6.0,0,Dutch Grand Prix
colapinto,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
gasly,19.0,6.0,1.0,0.0,5,5,0,5,8.0,1.0,2.0,5,Dutch Grand Prix
hamilton,26.0,2.0,2.0,0.0,0,5,0,5,19.0,12.0,2.0,5,Dutch Grand Prix
hulkenberg,19.0,0.0,0.0,0.0,0,0,0,0,19.0,4.0,10.0,5,Dutch Grand Prix
lawson,13.0,0.0,0.0,0.0,0,0,0,0,13.0,6.0,2.0,5,Dutch Grand Prix
leclerc,25.0,13.0,7.0,1.0,5,0,0,0,12.0,10.0,2.0,0,Dutch Grand Prix
max_verstappen,13.0,8.0,3.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Dutch Grand Prix
norris,56.0,11.0,6.0,0.0,5,15,10,5,30.0,25.0,0.0,5,Dutch Grand Prix
ocon,16.0,6.0,0.0,1.0,5,5,0,5,5.0,0.0,0.0,5,Dutch Grand Prix
perez,19.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,14.0,5,Dutch Grand Prix
piastri,12.0,4.0,4.0,0.0,0,0,0,0,8.0,8.0,0.0,0,Dutch Grand Prix
russell,33.0,13.0,8.0,0.0,5,5,0,5,15.0,15.0,0.0,0,Dutch Grand Prix
sainz,8.0,1.0,0.0,1.0,0,0,0,0,7.0,0.0,2.0,5,Dutch Grand Prix
stroll,6.0,6.0,0.0,1.0,5,0,0,0,0.0,0.0,0.0,0,Dutch Grand Prix
tsunoda,7.0,0.0,0.0,0.0,0,0,0,0,7.0,0.0,2.0,5,Dutch Grand Prix
