DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,6.0,6.0,0.0,6.0,0,0,0,0,0.0,0.0,0.0,0,Chinese Grand Prix
alonso,18.0,6.0,0.0,1.0,5,5,0,5,7.0,0.0,2.0,5,Chinese Grand Prix
antonelli,49.0,4.0,4.0,0.0,0,15,10,5,30.0,25.0,0.0,5,Chinese Grand Prix
arvid_lindblad,6.0,0.0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,0,Chinese Grand Prix
bearman,37.0,7.0,1.0,1.0,5,5,0,5,25.0,10.0,10.0,5,Chinese Grand Prix
bortoleto,6.0,6.0,0.0,1.0,5,0,0,0,0.0,0.0,0.0,0,Chinese Grand Prix
bottas,22.0,0.0,0.0,0.0,0,5,0,5,17.0,0.0,12.0,5,Chinese Grand Prix
colapinto,7.0,2.0,0.0,2.0,0,0,0,0,5.0,1.0,4.0,0,Chinese Grand Prix
gasly,25.0,5.0,0.0,0.0,5,5,0,5,15.0,8.0,2.0,5,Chinese Grand Prix
hadjar,11.0,0.0,0.0,0.0,0,0,0,0,11.0,4.0,2.0,5,Chinese Grand Prix
hamilton,32.0,7.0,6.0,1.0,0,5,0,5,20.0,15.0,0.0,5,Chinese Grand Prix
hulkenberg,10.0,0.0,0.0,0.0,0,5,0,5,5.0,0.0,0.0,5,Chinese Grand Prix
lawson,43.0,13.0,2.0,6.0,5,5,0,5,25.0,6.0,14.0,5,Chinese Grand Prix
leclerc,28.0,16.0,7.0,4.0,5,0,0,0,12.0,12.0,0.0,0,Chinese Grand Prix
max_verstappen,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Chinese Grand Prix
norris,10.0,10.0,5.0,0.0,5,0,0,0,0.0,0.0,0.0,0,Chinese Grand Prix
ocon,2.0,2.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0,Chinese Grand Prix
perez,19.0,7.0,0.0,2.0,5,0,0,0,12.0,0.0,12.0,0,Chinese Grand Prix
piastri,13.0,3.0,3.0,0.0,0,5,0,5,5.0,0.0,0.0,5,Chinese Grand Prix
russell,31.0,13.0,8.0,0.0,5,0,0,0,18.0,18.0,0.0,0,Chinese Grand Prix
sainz,38.0,10.0,0.0,5.0,5,5,0,5,23.0,2.0,16.0,5,Chinese Grand Prix
stroll,5.0,1.0,0.0,1.0,0,0,0,0,4.0,0.0,4.0,0,Chinese Grand Prix
