DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,3.0,3.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0,Canadian Grand Prix
alonso,5.0,0.0,0.0,0.0,0,5,0,5,0.0,0.0,0.0,0,Canadian Grand Prix
antonelli,38.0,6.0,6.0,0.0,0,0,0,0,32.0,25.0,2.0,5,Canadian Grand Prix
arvid_lindblad,12.0,7.0,1.0,1.0,5,5,0,5,0.0,0.0,0.0,0,Canadian Grand Prix
bearman,24.0,1.0,0.0,1.0,0,5,0,5,18.0,1.0,12.0,5,Canadian Grand Prix
bortoleto,5.0,5.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0,Canadian Grand Prix
bottas,19.0,4.0,0.0,4.0,0,0,0,0,15.0,0.0,10.0,5,Canadian Grand Prix
colapinto,35.0,9.0,0.0,4.0,5,5,0,5,21.0,8.0,8.0,5,Canadian Grand Prix
gasly,16.0,0.0,0.0,0.0,0,0,0,0,16.0,4.0,12.0,0,Canadian Grand Prix
hadjar,14.0,0.0,0.0,0.0,0,0,0,0,14.0,10.0,4.0,0,Canadian Grand Prix
hamilton,37.0,3.0,3.0,0.0,0,5,0,5,29.0,18.0,6.0,5,Canadian Grand Prix
hulkenberg,10.0,0.0,0.0,0.0,0,5,0,5,5.0,0.0,0.0,5,Canadian Grand Prix
lawson,28.0,7.0,0.0,7.0,0,0,0,0,21.0,6.0,10.0,5,Canadian Grand Prix
leclerc,30.0,10.0,4.0,1.0,5,0,0,0,20.0,12.0,8.0,0,Canadian Grand Prix
max_verstappen,38.0,7.0,2.0,0.0,5,5,0,5,26.0,15.0,6.0,5,Canadian Grand Prix
norris,18.0,13.0,7.0,1.0,5,5,0,5,0.0,0.0,0.0,0,Canadian Grand Prix
ocon,12.0,6.0,0.0,1.0,5,0,0,0,6.0,0.0,6.0,0,Canadian Grand Prix
perez,18.0,7.0,0.0,2.0,5,5,0,5,6.0,0.0,6.0,0,Canadian Grand Prix
piastri,10.0,5.0,5.0,0.0,0,0,0,0,5.0,0.0,0.0,5,Canadian Grand Prix
russell,28.0,13.0,8.0,0.0,5,15,10,5,0.0,0.0,0.0,0,Canadian Grand Prix
sainz,29.0,5.0,0.0,0.0,5,5,0,5,19.0,2.0,12.0,5,Canadian Grand Prix
stroll,25.0,6.0,0.0,1.0,5,0,0,0,19.0,0.0,14.0,5,Canadian Grand Prix
