DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,20.0,5,0,5,15.0,4.0,6.0,5,Monaco Grand Prix
alonso,33.0,5,0,5,28.0,1.0,22.0,5,Monaco Grand Prix
antonelli,45.0,15,10,5,30.0,25.0,0.0,5,Monaco Grand Prix
arvid_lindblad,26.0,0,0,0,26.0,8.0,18.0,0,Monaco Grand Prix
bearman,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
bortoleto,15.0,0,0,0,15.0,0.0,10.0,5,Monaco Grand Prix
bottas,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
colapinto,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
gasly,20.0,5,0,5,15.0,6.0,4.0,5,Monaco Grand Prix
hadjar,24.0,0,0,0,24.0,15.0,4.0,5,Monaco Grand Prix
hamilton,30.0,5,0,5,25.0,18.0,2.0,5,Monaco Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Monaco Grand Prix
lawson,30.0,5,0,5,25.0,10.0,10.0,5,Monaco Grand Prix
leclerc,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
max_verstappen,5.0,5,0,5,0.0,0.0,0.0,0,Monaco Grand Prix
norris,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
ocon,28.0,5,0,5,23.0,2.0,16.0,5,Monaco Grand Prix
perez,16.0,5,0,5,11.0,0.0,6.0,5,Monaco Grand Prix
piastri,28.0,5,0,5,23.0,12.0,6.0,5,Monaco Grand Prix
russell,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
sainz,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
stroll,8.0,0,0,0,8.0,0.0,8.0,0,Monaco Grand Prix
