DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,0.0,0,0,0,0.0,0.0,0.0,0,Barcelona Grand Prix
alonso,11.0,0,0,0,11.0,0.0,6.0,5,Barcelona Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Barcelona Grand Prix
arvid_lindblad,6.0,0,0,0,6.0,2.0,4.0,0,Barcelona Grand Prix
bearman,5.0,5,0,5,0.0,0.0,0.0,0,Barcelona Grand Prix
bortoleto,7.0,0,0,0,7.0,0.0,2.0,5,Barcelona Grand Prix
bottas,0.0,0,0,0,0.0,0.0,0.0,0,Barcelona Grand Prix
colapinto,12.0,5,0,5,7.0,1.0,6.0,0,Barcelona Grand Prix
gasly,25.0,0,0,0,25.0,6.0,14.0,5,Barcelona Grand Prix
hadjar,8.0,0,0,0,8.0,8.0,0.0,0,Barcelona Grand Prix
hamilton,37.0,5,0,5,32.0,25.0,2.0,5,Barcelona Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Barcelona Grand Prix
lawson,14.0,5,0,5,9.0,4.0,0.0,5,Barcelona Grand Prix
leclerc,0.0,0,0,0,0.0,0.0,0.0,0,Barcelona Grand Prix
max_verstappen,24.0,5,0,5,19.0,12.0,2.0,5,Barcelona Grand Prix
norris,27.0,5,0,5,22.0,15.0,2.0,5,Barcelona Grand Prix
ocon,13.0,0,0,0,13.0,0.0,8.0,5,Barcelona Grand Prix
perez,20.0,5,0,5,15.0,0.0,10.0,5,Barcelona Grand Prix
piastri,14.0,0,0,0,14.0,10.0,4.0,0,Barcelona Grand Prix
russell,38.0,15,10,5,23.0,18.0,0.0,5,Barcelona Grand Prix
sainz,18.0,5,0,5,13.0,0.0,8.0,5,Barcelona Grand Prix
stroll,5.0,5,0,5,0.0,0.0,0.0,0,Barcelona Grand Prix
