DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,4.0,4.0,0.0,4.0,0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
alonso,21.0,5.0,0.0,0.0,5,5,0,5,11.0,0.0,6.0,5,British Grand Prix
antonelli,29.0,14.0,8.0,1.0,5,15,10,5,0.0,0.0,0.0,0,British Grand Prix
arvid_lindblad,15.0,0.0,0.0,0.0,0,5,0,5,10.0,6.0,4.0,0,British Grand Prix
bearman,19.0,7.0,0.0,2.0,5,5,0,5,7.0,0.0,2.0,5,British Grand Prix
bortoleto,25.0,5.0,0.0,0.0,5,5,0,5,15.0,4.0,6.0,5,British Grand Prix
bottas,14.0,5.0,0.0,0.0,5,5,0,5,4.0,0.0,4.0,0,British Grand Prix
colapinto,29.0,2.0,0.0,2.0,0,0,0,0,27.0,2.0,20.0,5,British Grand Prix
gasly,21.0,5.0,0.0,0.0,5,5,0,5,11.0,1.0,10.0,0,British Grand Prix
hadjar,20.0,0.0,0.0,0.0,0,5,0,5,15.0,10.0,0.0,5,British Grand Prix
hamilton,27.0,12.0,7.0,0.0,5,0,0,0,15.0,15.0,0.0,0,British Grand Prix
hulkenberg,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
lawson,28.0,7.0,1.0,1.0,5,0,0,0,21.0,8.0,8.0,5,British Grand Prix
leclerc,41.0,4.0,4.0,0.0,0,5,0,5,32.0,25.0,2.0,5,British Grand Prix
max_verstappen,8.0,8.0,3.0,0.0,5,0,0,0,0.0,0.0,0.0,0,British Grand Prix
norris,40.0,14.0,6.0,3.0,5,5,0,5,21.0,12.0,4.0,5,British Grand Prix
ocon,9.0,1.0,0.0,1.0,0,0,0,0,8.0,0.0,8.0,0,British Grand Prix
perez,17.0,0.0,0.0,0.0,0,0,0,0,17.0,0.0,12.0,5,British Grand Prix
piastri,2.0,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0,British Grand Prix
russell,33.0,6.0,5.0,1.0,0,0,0,0,27.0,18.0,4.0,5,British Grand Prix
sainz,15.0,5.0,0.0,0.0,5,5,0,5,5.0,0.0,0.0,5,British Grand Prix
stroll,6.0,0.0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,0,British Grand Prix
