DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,16.0,5.0,0.0,5.0,11.0,0.0,6.0,5.0,Australian Grand Prix
alonso,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,Australian Grand Prix
antonelli,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,Australian Grand Prix
arvid_lindblad,11.0,0.0,0.0,0.0,11.0,4.0,2.0,5.0,Australian Grand Prix
bearman,26.0,5.0,0.0,5.0,21.0,6.0,10.0,5.0,Australian Grand Prix
bortoleto,14.0,5.0,0.0,5.0,9.0,2.0,2.0,5.0,Australian Grand Prix
bottas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
colapinto,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Australian Grand Prix
gasly,19.0,5.0,0.0,5.0,14.0,1.0,8.0,5.0,Australian Grand Prix
hadjar,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,Australian Grand Prix
hamilton,18.0,0.0,0.0,0.0,18.0,12.0,6.0,0.0,Australian Grand Prix
hulkenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
lawson,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,Australian Grand Prix
leclerc,27.0,5.0,0.0,5.0,22.0,15.0,2.0,5.0,Australian Grand Prix
max_verstappen,41.0,0.0,0.0,0.0,41.0,8.0,28.0,5.0,Australian Grand Prix
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
norris,17.0,0.0,0.0,0.0,17.0,10.0,2.0,5.0,Australian Grand Prix
ocon,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Australian Grand Prix
perez,14.0,5.0,0.0,5.0,9.0,0.0,4.0,5.0,Australian Grand Prix
piastri,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,Australian Grand Prix
russell,45.0,15.0,10.0,5.0,30.0,25.0,0.0,5.0,Australian Grand Prix
sainz,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,Australian Grand Prix
stroll,15.0,0.0,0.0,0.0,15.0,0.0,10.0,5.0,Australian Grand Prix
