DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,Australian Grand Prix
alonso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
antonelli,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,Australian Grand Prix
arvid_lindblad,9.0,0.0,0.0,0.0,9.0,4.0,0.0,5.0,Australian Grand Prix
bearman,11.0,0.0,0.0,0.0,11.0,6.0,0.0,5.0,Australian Grand Prix
bortoleto,7.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,Australian Grand Prix
bottas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
colapinto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
gasly,6.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,Australian Grand Prix
hadjar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
hamilton,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,Australian Grand Prix
hulkenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
lawson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
leclerc,20.0,0.0,0.0,0.0,20.0,15.0,0.0,5.0,Australian Grand Prix
max_verstappen,13.0,0.0,0.0,0.0,13.0,8.0,0.0,5.0,Australian Grand Prix
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
norris,15.0,0.0,0.0,0.0,15.0,10.0,0.0,5.0,Australian Grand Prix
ocon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
perez,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,Australian Grand Prix
piastri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
russell,40.0,10.0,10.0,0.0,30.0,25.0,0.0,5.0,Australian Grand Prix
sainz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australian Grand Prix
stroll,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,Australian Grand Prix
