EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,20.5,2026-07-20T11:46:01.439344+00:00
constructor,Mercedes,mercedes,22.5,2026-07-20T11:46:01.439344+00:00
constructor,Ferrari,ferrari,22.0,2026-07-20T11:46:01.439344+00:00
constructor,Alpine,alpine,12.0,2026-07-20T11:46:01.439344+00:00
constructor,McLaren,mclaren,20.5,2026-07-20T11:46:01.439344+00:00
constructor,Aston Martin,aston_martin,5.0,2026-07-20T11:46:01.439344+00:00
constructor,Audi,audi,5.5,2026-07-20T11:46:01.439344+00:00
constructor,Racing Bulls,racing_bulls,11.5,2026-07-20T11:46:01.439344+00:00
constructor,Williams,williams,6.5,2026-07-20T11:46:01.439344+00:00
constructor,Haas,haas,7.0,2026-07-20T11:46:01.439344+00:00
constructor,Cadillac,cadillac,5.0,2026-07-20T11:46:01.439344+00:00
