EntityType,Name,NameKey,Price,ScrapedAtUtc
driver,Verstappen,verstappen,21.5,2026-09-14T15:42:48.318853+00:00
driver,Lawson,lawson,17.5,2026-09-14T15:42:48.318853+00:00
driver,Russell,russell,21.0,2026-09-14T15:42:48.318853+00:00
driver,Antonelli,antonelli,24.0,2026-09-14T15:42:48.318853+00:00
driver,Leclerc,leclerc,20.0,2026-09-14T15:42:48.318853+00:00
driver,Hamilton,hamilton,19.5,2026-09-14T15:42:48.318853+00:00
driver,Gasly,gasly,12.0,2026-09-14T15:42:48.318853+00:00
driver,Colapinto,colapinto,8.5,2026-09-14T15:42:48.318853+00:00
driver,Norris,norris,22.0,2026-09-14T15:42:48.318853+00:00
driver,Piastri,piastri,17.5,2026-09-14T15:42:48.318853+00:00
driver,Alonso,alonso,9.5,2026-09-14T15:42:48.318853+00:00
driver,Stroll,stroll,4.5,2026-09-14T15:42:48.318853+00:00
driver,Hulkenberg,hulkenberg,7.5,2026-09-14T15:42:48.318853+00:00
driver,Bortoleto,bortoleto,8.0,2026-09-14T15:42:48.318853+00:00
driver,Tsunoda,tsunoda,10.5,2026-09-14T15:42:48.318853+00:00
driver,Lindblad,lindblad,8.0,2026-09-14T15:42:48.318853+00:00
driver,Sainz,sainz,8.5,2026-09-14T15:42:48.318853+00:00
driver,Albon,albon,7.0,2026-09-14T15:42:48.318853+00:00
driver,Bearman,bearman,8.5,2026-09-14T15:42:48.318853+00:00
driver,Ocon,ocon,6.5,2026-09-14T15:42:48.318853+00:00
driver,Perez,perez,8.5,2026-09-14T15:42:48.318853+00:00
driver,Bottas,bottas,5.5,2026-09-14T15:42:48.318853+00:00
