EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Alpine,alpine,10.5,2026-06-15T11:08:45.224256+00:00
constructor,Aston Martin,aston_martin,5.5,2026-06-15T11:08:45.224256+00:00
constructor,Audi,audi,5.5,2026-06-15T11:08:45.224256+00:00
constructor,Cadillac,cadillac,4.5,2026-06-15T11:08:45.224256+00:00
constructor,Ferrari,ferrari,20.0,2026-06-15T11:08:45.224256+00:00
constructor,Haas,haas,8.0,2026-06-15T11:08:45.224256+00:00
constructor,McLaren,mclaren,20.5,2026-06-15T11:08:45.224256+00:00
constructor,Mercedes,mercedes,23.5,2026-06-15T11:08:45.224256+00:00
constructor,Racing Bulls,racing_bulls,10.5,2026-06-15T11:08:45.224256+00:00
constructor,Red Bull,red_bull,18.5,2026-06-15T11:08:45.224256+00:00
constructor,Williams,williams,8.5,2026-06-15T11:08:45.224256+00:00
driver,Albon,albon,7.5,2026-06-15T11:08:45.222510+00:00
driver,Alonso,alonso,10.5,2026-06-15T11:08:45.222510+00:00
driver,Antonelli,antonelli,21.5,2026-06-15T11:08:45.222510+00:00
driver,Bearman,bearman,9.5,2026-06-15T11:08:45.222510+00:00
driver,Bortoleto,bortoleto,6.5,2026-06-15T11:08:45.222510+00:00
driver,Bottas,bottas,6.5,2026-06-15T11:08:45.222510+00:00
driver,Colapinto,colapinto,7.0,2026-06-15T11:08:45.222510+00:00
driver,Gasly,gasly,9.5,2026-06-15T11:08:45.222510+00:00
driver,Hadjar,hadjar,14.0,2026-06-15T11:08:45.222510+00:00
driver,Hamilton,hamilton,20.5,2026-06-15T11:08:45.222510+00:00
driver,Hulkenberg,hulkenberg,6.5,2026-06-15T11:08:45.222510+00:00
driver,Lawson,lawson,10.0,2026-06-15T11:08:45.222510+00:00
driver,Leclerc,leclerc,17.5,2026-06-15T11:08:45.222510+00:00
driver,Lindblad,lindblad,4.5,2026-06-15T11:08:45.222510+00:00
driver,Norris,norris,20.0,2026-06-15T11:08:45.222510+00:00
driver,Ocon,ocon,7.5,2026-06-15T11:08:45.222510+00:00
driver,Perez,perez,9.5,2026-06-15T11:08:45.222510+00:00
driver,Piastri,piastri,20.5,2026-06-15T11:08:45.222510+00:00
driver,Russell,russell,20.0,2026-06-15T11:08:45.222510+00:00
driver,Sainz,sainz,10.5,2026-06-15T11:08:45.222510+00:00
driver,Stroll,stroll,4.5,2026-06-15T11:08:45.222510+00:00
driver,Verstappen,verstappen,20.0,2026-06-15T11:08:45.222510+00:00
